height,prop_time_lower_bound,node_count,size
1787862,0,1,18666
1787863,0,1,10096
1787864,0,1,3853
1787865,0,1,4706
1787866,1560,2,9529
1787867,0,1,9495
1787868,0,1,94
1787869,0,1,94
1787870,0,1,8777
1787871,0,1,10640
1787872,0,1,90
1787873,0,1,21840
1787874,0,1,94
1787875,0,1,2810
1787876,0,1,20438
1787877,0,1,7434
1787878,0,1,2809
1787879,0,1,6577
1787880,0,1,2807
1787881,0,1,2813
1787882,0,1,4696
1787883,0,1,4694
1787884,0,1,5517
1787885,0,1,103
1787886,0,1,94
1787887,0,1,22296
1787888,0,1,90
1787889,0,1,94
1787890,0,1,6585
1787891,0,1,29614
1787892,0,1,94
1787893,0,1,94
1787894,0,1,16683
1787895,0,1,90
1787896,0,1,5306
1787897,0,1,9300
1787898,0,1,94
1787899,0,1,10965
1787900,0,1,1976
1787901,0,1,1991
1787902,0,1,10024
1787903,0,1,17458
1787904,0,1,94
1787905,0,1,10755
1787906,0,1,4727
1787907,0,1,4699
1787908,0,1,6966
1787909,0,1,94
1787910,0,1,33992
1787911,0,1,2809
1787912,0,1,43649
1787913,0,1,94
1787914,0,1,18244
1787915,0,1,13087
1787916,0,1,2806
1787917,0,1,1980
1787918,0,1,94
1787919,0,1,7214
1787920,0,1,6063
1787921,0,1,90
1787922,0,1,94
1787923,0,1,5766
1787924,0,1,6381
1787925,0,1,25491
1787926,0,1,2812
1787927,0,1,3868
1787928,0,1,94
1787929,0,1,29152
1787930,0,1,8044
1787931,0,1,28040
1787932,0,1,94
1787933,0,1,90
1787934,0,1,7438
1787935,0,1,4697
1787936,0,1,94
1787937,0,1,103
1787938,0,1,14143
1787939,0,1,20272
1787940,0,1,94
1787941,0,1,3854
1787942,0,1,47797
1787943,0,1,3858
1787944,0,1,4694
1787945,0,1,94
1787946,0,1,103
1787947,0,1,8422
1787948,0,1,43611
1787949,0,1,18968
1787950,0,1,90
1787951,0,1,12881
1787952,0,1,6598
1787953,0,1,21022
1787954,0,1,21394
1787955,0,1,16422
1787956,0,1,4698
1787957,0,1,12611
1787958,0,1,7406
1787959,0,1,2814
1787960,0,1,2001
1787961,0,1,8503
1787962,0,1,103
1787963,0,1,90
1787964,0,1,5767
1787965,0,1,41103
1787966,0,1,3854
1787967,0,1,3842
1787968,0,1,16470
1787969,0,1,103
1787970,0,1,34450
1787971,0,1,20641
1787972,0,1,94
1787973,0,1,90
1787974,0,1,94
1787976,0,1,94
1787977,0,1,20403
1787978,0,1,17468
1787979,0,1,22103
1787980,0,1,10129
1787981,0,1,3865
1787982,0,1,34867
1787983,0,1,90
